Time_Percentage,Angle
31.315930627570175,9.748077392578097
31.39638834257107,9.767524719238295
31.46790631146075,9.791236877441406
31.53942428035044,9.818450927734403
31.619881995351335,9.847915649414105
31.69139996424102,9.878715515136705
31.762917933130698,9.910202026367202
31.843375648131595,9.941909790039105
31.914893617021278,9.973709106445298
31.98641158591096,10.005538940429702
32.066869300911854,10.037300109863295
32.13838726980154,10.069076538085895
32.21884498480243,10.100914001464801
32.29036295369212,10.132514953613295
32.3618809225818,10.163482666015597
32.442338637582694,10.193161010742202
32.51385660647237,10.220726013183594
32.58537457536206,10.245590209960895
32.66583229036296,10.267425537109403
32.737350259252636,10.286323547363295
32.808868228142316,10.303466796875
32.88932594314321,10.3203125
32.9608439120329,10.337394714355497
33.032361880922586,10.355178833007798
33.112819595923476,10.375030517578097
33.18433756481316,10.398094177246094
33.25585553370284,10.424468994140597
33.33631324870374,10.453620910644503
33.40783121759342,10.484573364257798
33.479349186483105,10.515823364257798
33.559806901483995,10.545745849609403
33.63132487037368,10.572380065917997
33.70284283926336,10.593559265136705
33.78330055426426,10.607826232910199
33.85481852315394,10.615715026855497
33.926336492043625,10.620742797851605
34.00679420704452,10.628273010253906
34.07831217593421,10.642066955566406
34.14983014482389,10.662750244140597
34.230287859824784,10.689270019531193
34.301805828714464,10.720199584960895
34.37332379760415,10.754196166992202
34.45378151260504,10.790412902832003
34.52529948149473,10.828140258789105
34.59681745038441,10.866195678710895
34.6772751653853,10.903312683105497
34.74879313427498,10.938789367675795
34.82031110316467,10.972747802734403
34.90076881816556,11.005622863769503
34.972286787055246,11.037773132324205
35.04380475594493,11.069610595703097
35.12426247094583,11.101470947265597
35.19578043983551,11.133369445800795
35.276238154836406,11.165367126464801
35.347756123726086,11.197433471679702
35.41927409261577,11.229400634765597
35.49973180761666,11.261344909667997
35.57124977650635,11.293380737304702
35.64276774539603,11.325546264648395
35.723225460396925,11.358085632324205
35.794743429286605,11.391273498535199
35.86626139817629,11.425201416015597
35.94671911317718,11.460075378417997
36.01823708206687,11.495872497558594
36.089755050956555,11.531837463378906
36.17021276595745,11.566810607910199
36.24173073484713,11.600013732910199
36.31324870373681,11.631622314453097
36.39370641873771,11.662513732910199
36.465224387627394,11.694137573242202
36.536742356517074,11.728446960449205
36.61720007151797,11.766441345214801
36.68871804040765,11.806900024414105
36.76023600929734,11.847404479980497
36.84069372429823,11.886253356933594
36.91221169318791,11.923164367675795
36.9837296620776,11.958686828613295
37.06418737707849,11.993614196777301
37.13570534596818,12.028991699218693
37.207223314857856,12.065460205078097
37.28768102985875,12.102592468261705
37.35919899874843,12.139312744140597
37.43071696763812,12.174819946289105
37.511174682639016,12.209068298339801
37.582692651528696,12.242355346679702
37.65421062041838,12.274925231933594
37.73466833541927,12.307136535644503
37.80618630430896,12.339340209960895
37.877704273198646,12.371749877929702
37.958161988199535,12.404808044433594
38.02967995708922,12.438995361328097
38.1011979259789,12.474586486816406
38.1816556409798,12.511871337890597
38.25317360986948,12.550796508789105
38.333631324870375,12.590309143066406
38.405149293760054,12.628433227539105
38.47666726264974,12.663070678710895
38.55712497765064,12.692352294921903
38.62864294654032,12.714508056640597
38.700160915430004,12.728210449218693
38.780618630430894,12.734138488769503
38.85213659932058,12.735771179199205
38.92365456821027,12.737937927246094
39.00411228321116,12.744201660156193
39.075630252100844,12.755744934082003
39.14714822099052,12.772293090820298
39.22760593599142,12.793289184570298
39.2991239048811,12.818229675292997
39.370641873770786,12.846710205078097
39.451099588771676,12.878311157226605
39.52261755766136,12.912536621093693
39.59413552655104,12.949050903320298
39.67459324155194,12.987419128417997
39.746111210441626,13.0264892578125
39.81762917933131,13.0648193359375
39.8980868943322,13.101547241210895
39.96960486322189,13.136703491210895
40.04112283211157,13.170669555664105
40.121580547112465,13.203712463378906
40.193098516002145,13.2362060546875
40.26461648489183,13.268325805664105
40.34507419989272,13.299858093261705
40.41659216878241,13.330528259277301
40.48811013767209,13.359748840332003
40.568567852672984,13.386550903320298
40.640085821562664,13.410491943359403
40.71160379045235,13.432868957519503
40.79206150545325,13.456497192382798
40.86357947434293,13.483650207519503
40.93509744323261,13.514686584472699
41.01555515823351,13.548591613769503
41.08707312712319,13.584335327148395
41.15859109601288,13.621452331542997
41.23904881101377,13.659439086914105
41.31056677990345,13.697067260742202
41.39102449490434,13.732658386230497
41.46254246379403,13.7646484375
41.53406043268371,13.7919921875
41.614518147684606,13.814224243164105
41.686036116574286,13.831947326660199
41.75755408546397,13.847991943359403
41.83801180046487,13.867202758789105
41.90952976935455,13.893005371093693
41.98104773824423,13.924674987792997
42.06150545324513,13.959037780761705
42.13302342213481,13.993515014648395
42.2045413910245,14.026725769042997
